Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;30/12/2020;Dividendo;HGTX3 - CIA HERING                                        ;INTER DTVM LTDA;57; RR$	0,11 ; RR$	5,99 
Credito;30/12/2020;Juros Sobre Capital Próprio;HGTX3 - CIA HERING                                        ;INTER DTVM LTDA;57; RR$	0,12 ; RR$	5,59 
Credito;23/12/2020;Transferência - Liquidação;IFIE11 - IFI-E FUNDO DE INVESTIMENTO IMOBILIARIO - FII     ;INTER DTVM LTDA;2; RR$	95,92 ; RR$	191,84 
Credito;23/12/2020;Transferência - Liquidação;IVVB11 - ISHARES S&P 500 FDO INV COTAS FDO INDICE          ;INTER DTVM LTDA;1; RR$	204,38 ; RR$	204,38 
Credito;23/12/2020;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S.A.                               ;INTER DTVM LTDA;7; RR$	23,99 ; RR$	167,93 
Credito;23/12/2020;Transferência - Liquidação;ODPV3 - ODONTOPREV S.A.                                   ;INTER DTVM LTDA;2; RR$	13,21 ; RR$	26,42 
Credito;21/12/2020;Transferência - Liquidação;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;1; RR$	10,26 ; RR$	10,26 
Credito;16/12/2020;Rendimento;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;20; RR$	0,50 ; RR$	10,00 
Credito;16/12/2020;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S.A.                               ;INTER DTVM LTDA;5; RR$	23,12 ; RR$	115,60 
Credito;15/12/2020;Rendimento;IFIE11 - IFI-E FUNDO DE INVESTIMENTO IMOBILIARIO - FII     ;INTER DTVM LTDA;4; RR$	0,38 ; RR$	1,52 
Credito;15/12/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;10; RR$	0,54 ; RR$	5,40 
Credito;14/12/2020;Rendimento;BBPO11 - BB PROGRESSIVO II FDO INV IMOB - FII              ;INTER DTVM LTDA;20; RR$	1,08 ; RR$	21,64 
Credito;14/12/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;30; RR$	0,53 ; RR$	15,90 
Credito;14/12/2020;Rendimento;HCTR11 - HECTARE CE - FDO INV IMOB                         ;INTER DTVM LTDA;14; RR$	2,51 ; RR$	35,14 
Credito;14/12/2020;Rendimento;HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB                ;INTER DTVM LTDA;1; RR$	0,60 ; RR$	0,60 
Credito;14/12/2020;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S.A.                               ;INTER DTVM LTDA;1; RR$	23,74 ; RR$	23,74 
Credito;14/12/2020;Rendimento;MXRF11 - MAXI RENDA FDO INV IMOB - FII                     ;INTER DTVM LTDA;295; RR$	0,06 ; RR$	17,70 
Credito;14/12/2020;Rendimento;VISC11 - VINCI SHOPPING CENTERS FDO INVEST IMOB - FII      ;INTER DTVM LTDA;10; RR$	0,45 ; RR$	4,50 
Debito;10/12/2020;Direitos de Subscrição - Não Exercido;HCTR12       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO;INTER DTVM LTDA;0;-;-
Credito;10/12/2020;Recibo de Subscrição;HCTR13       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO;INTER DTVM LTDA;8;-;-
Debito;10/12/2020;Recibo de Subscrição;HCTR13       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO;INTER DTVM LTDA;8;-;-
Debito;09/12/2020;Solicitação de Subscrição;HCTR12 - HECTARE CE - FDO INV IMOB                         ;INTER DTVM LTDA;8;-;-
Debito;09/12/2020;Direitos de Subscrição - Excercído;HCTR12 - HECTARE CE - FDO INV IMOB                         ;INTER DTVM LTDA;8;-;-
Credito;09/12/2020;Dividendo;ODPV3 - ODONTOPREV S.A.                                   ;INTER DTVM LTDA;69; RR$	0,14 ; RR$	9,43 
Credito;07/12/2020;Rendimento;HSML11 - HSI MALL FDO INV IMOB                             ;INTER DTVM LTDA;10; RR$	0,47 ; RR$	4,70 
Credito;04/12/2020;Rendimento;LGCP13 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;16; RR$	0,02 ; RR$	0,32 
Credito;02/12/2020;Atualização;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;16;-;-
Credito;01/12/2020;Transferência - Liquidação;ODPV3 - ODONTOPREV S.A.                                   ;INTER DTVM LTDA;36; RR$	13,11 ; RR$	471,96 
